,words
1790,army
1791,attack
1792,naboo
1793,must
1794,warn
1795,boss
1796,nass
1797,wesa
1798,like
1799,da
1800,naboo
1801,un
1802,dey
1803,like
1804,ussens
1805,da
1806,naboo
1807,tink
1808,day
1809,smarty
1810,den
1811,usens
1812,day
1813,tink
1814,day
1815,brains
1816,big
1817,obiwan
1818,droids
1819,take
1820,control
1821,surface
1822,come
1823,take
1824,control
1825,boss
1826,nass
1827,mesa
1828,tink
1829,mesa
1830,scant
1831,talkie
1832,witda
1833,naboo
1834,nutten
1835,talkie
1836,outlaunders
1837,dos
1838,mackineeks
1839,comen
1840,dey
1841,know
1842,ussen
1843,obiwan
1844,naboo
1845,form
1846,symbiont
1847,circle
1848,happens
1849,noe
1850,affect
1851,must
1852,understand
1853,boss
1854,nass
1855,wesa
1856,wish
1857,nutten
1858,yousa
1859,tings
1860,outlaunder
1861,wesa
1862,caren
1863,da
1864,naboo
1865,quigon
1866,waves
1867,hand
1868,speed
1869,us
1870,way
1871,boss
1872,nass
1873,wesa
1874,gon
1875,na
1876,speed
1877,yousaway
1878,quigon
1879,need
1880,transport
1881,boss
1882,nass
1883,wesa
1884,give
1885,yousa
1886,una
1887,bongo
1888,da
1889,speedest
1890,way
1891,tooda
1892,naboo
1893,tis
1894,goen
1895,da
1896,core
1897,go
1898,quigon
1899,thank
1900,help
1901,go
1902,peace
1903,quigon
1904,obiwan
1905,turn
1906,leave
1907,obiwan
1908,master
1909,whats
1910,bongo
1911,quigon
1912,transport
1913,hope
1914,jedi
1915,notice
1916,jar
1917,jar
1918,chains
1919,one
1920,side
1921,waiting
1922,hear
1923,verdict
1924,quigon
1925,stops
1926,jar
1927,jar
1928,gives
1929,forlorn
1930,look
1931,jar
1932,jar
1933,daza
1934,setten
1935,yous
1936,goen
1937,da
1938,planet
1939,core
1940,bad
1941,bombin
1942,quigon
1943,thank
1944,friend
1945,jar
1946,jar
1947,ahhhany
1948,hep
1949,hair
1950,would
1951,hot
1952,jar
